id,release_date,revenue,title,vote_average,vote_count
886,10/15/1965,15260000,The Cincinnati Kid,7,62
887,12/25/1946,23650000,The Best Years of Our Lives,7.6,148
888,5/26/1994,341631208,The Flintstones,5,559
889,4/28/2000,59468275,The Flintstones in Viva Rock Vegas,4.4,140
891,4/4/1976,70600000,All the Presidents Men,7.6,424
892,4/17/1991,1794187,Delicatessen,7.4,320
898,7/3/1962,3100000,Birdman of Alcatraz,7,71
901,1/30/1931,19181,City Lights,8.2,444
902,5/16/1995,1738611,The City of Lost Children,7.6,308
903,6/22/1967,16217773,Cool Hand Luke,7.7,390
907,12/22/1965,111858363,Doctor Zhivago,7.4,252
